"States Affected","No. of Cases (Lab Confirmed)","No. of Active Cases","No. Discharged","No of Deaths"
"Lagos",504,383,106,15
"Abuja FCT",119,81,35,3
"Kano",73,72,0,1
"Osun",20,2,18,0
"Oyo",17,11,5,1
"Edo",17,8,7,2
"Ogun",24,19,5,0
"Katsina",21,20,0,1
"Kwara",10,8,2,0
"Akwa Ibom",9,5,3,1
"Kaduna",9,5,4,0
"Bauchi",8,3,5,0
"Gombe",5,5,0,0
"Delta",6,5,0,1
"Ekiti",4,1,2,1
"Borno",9,7,0,2
"Ondo",3,2,1,0
"Abia",2,2,0,0
"Enugu",2,0,2,0
"Rivers",3,1,2,0
"Niger",2,2,0,0
"Jigawa",2,2,0,0
"Benue",1,1,0,0
"Anambra",1,1,0,0
"Sokoto",1,1,0,0
"Adamawa",1,1,0,0
"Total",873,649,197,28
