"states","confirmedCases","Day"
"Abuja FCT",35,1
"Adamawa",0,1
"Anambra",0,1
"Bayelsa",0,1
"Borno",0,1
"Delta",0,1
"Enugu",2,1
"Ekiti",2,1
"Imo",0,1
"Kaduna",4,1
"Katsina",0,1
"Kogi",0,1
"Lagos",91,1
"Niger",0,1
"Ondo",0,1
"Oyo",8,1
"Rivers",1,1
"Taraba",0,1
"Zamfara",0,1
"Abia",0,1
"Akwa Ibom",5,1
"Bauchi",3,1
"Benue",1,1
"Cross River",0,1
"Ebonyi",0,1
"Edo",4,1
"Gombe",0,1
"Jigawa",0,1
"Kano",0,1
"Kebbi",0,1
"Kwara",0,1
"Nasarawa",0,1
"Ogun",4,1
"Osun",14,1
"Plateau",0,1
"Sokoto",0,1
"Yobe",0,1
"Abuja FCT",38,2
"Adamawa",0,2
"Anambra",0,2
"Bayelsa",0,2
"Borno",0,2
"Delta",0,2
"Enugu",2,2
"Ekiti",2,2
"Imo",0,2
"Kaduna",4,2
"Katsina",0,2
"Kogi",0,2
"Lagos",97,2
"Niger",0,2
"Ondo",0,2
"Oyo",8,2
"Rivers",1,2
"Taraba",0,2
"Zamfara",0,2
"Abia",0,2
"Akwa Ibom",5,2
"Bauchi",3,2
"Benue",1,2
"Cross River",0,2
"Ebonyi",0,2
"Edo",4,2
"Gombe",0,2
"Jigawa",0,2
"Kano",0,2
"Kebbi",0,2
"Kwara",0,2
"Nasarawa",0,2
"Ogun",4,2
"Osun",14,2
"Plateau",0,2
"Sokoto",0,2
"Yobe",0,2
"Abuja FCT",38,3
"Adamawa",0,3
"Anambra",0,3
"Bayelsa",0,3
"Borno",0,3
"Delta",0,3
"Enugu",2,3
"Ekiti",2,3
"Imo",0,3
"Kaduna",4,3
"Katsina",0,3
"Kogi",0,3
"Lagos",97,3
"Niger",0,3
"Ondo",0,3
"Oyo",8,3
"Rivers",1,3
"Taraba",0,3
"Zamfara",0,3
"Abia",0,3
"Akwa Ibom",5,3
"Bauchi",3,3
"Benue",1,3
"Cross River",0,3
"Ebonyi",0,3
"Edo",4,3
"Gombe",0,3
"Jigawa",0,3
"Kano",0,3
"Kebbi",0,3
"Kwara",0,3
"Nasarawa",0,3
"Ogun",4,3
"Osun",20,3
"Plateau",0,3
"Sokoto",0,3
"Yobe",0,3
"Lagos",120,5
"Abuja FCT",47,5
"Osun",20,5
"Oyo",9,5
"Edo",9,5
"Bauchi",6,5
"Akwa Ibom",5,5
"Kaduna",5,5
"Ogun",4,5
