"states","confirmedCases","Day"
"Lagos",844,28
"Abuja FCT",158,28
"Kano",115,28
"Borno",53,28
"Ogun",50,28
"Gombe",46,28
"Osun",34,28
"Katsina",30,28
"Edo",30,28
"Bauchi",29,28
"Oyo",21,28
"Sokoto",19,28
"Kaduna",15,28
"Akwa Ibom",12,28
"Kwara",11,28
"Ekiti",8,28
"Ondo",8,28
"Delta",7,28
"Rivers",7,28
"Taraba",8,28
"Abia",2,28
"Enugu",3,28
"Niger",2,28
"Jigawa",7,28
"Zamfara",4,28
NA,NA,28
"Benue",1,28
"Anambra",1,28
"Plateau",1,28
"Imo",1,28
"Bayelsa",1,28
"Ebonyi",1,28
"Kebbi",1,28
"Nasarawa",1,28
